begin,end,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup
2,3869,,"Stellenangebot - KONSTRUKTEUR M/W FÜR BERLIN GESUCHT!!! (Konstrukteur/in)

  Überblick über das Stellenangebot

  Referenznummer

  10000-1152192937-S
  Titel des Stellenangebots

  KONSTRUKTEUR M/W FÜR BERLIN GESUCHT!!! (Konstrukteur/in)
  Alternativberufe
  Werkzeugmechaniker/in - Formentechnik
  Stellenangebotsart

  Arbeitsplatz (sozialversicherungspflichtig)
  Arbeitgeber
  Berlin Arbeitsvermittlung Menchawy Karim El Menchawy

  Branche: Vermittlung von Arbeitskräften, Betriebsgröße: weniger als 6
  Stellenbeschreibung

  Im Rahmen der Arbeitsvermittlung suchen wir für einen Kunden in Berlin einen Konstrukteur m/w.

  Ihre Aufgaben:

  - CAD-gestütztes Konstruieren
  - Abstimmen technischer Sachverhalte mit Kunden und internen Projektbeteiligten
  - technische Begleitung der gesamten Bauphase bis zur Kundenfreigabe und Einführung der Serienfertigung
  - Einkauf von Materialien und Fremdleistungen
  - Dokumentation projektrelevanter Informationen
  - Mitwirkung bei der Erstellung von Kalkulationen bei Kundenanfragen

  Ihr Profil:

  - eine abgeschlossen Ausbildung zum Formbauer/ Werkzeugmechaniker sowie eine ergänzende Ausbildung zum Techniker oder Ingenieur, Fachrichtung Maschinenbau
  - mehrjährige Berufserfahrung als Konstrukteur/in wünschenswert
  - Erfahrung im Umgang mit CAD-Software (SolidWorks oder CATIA)
  - gute Englisch- und MS Office-Kenntnisse
  - Kommunikationsstärke, Flexibilität und eigenständiges Arbeiten
  - Teamfähigkeit

  Es erwartet Sie eine interessante und abwechslungsreiche Tätigkeiten leistungsgerechter Bezahlung nach BAP und gründlicher Einarbeitung.
  Führungsverantwortung

  Keine Führungsverantwortung
  Arbeitsorte

  Berlin, Berlin, Deutschland
  In der nachfolgenden Kartenansicht sind die Ausübungsorte des Stellenangebots in einer interaktiven Deutschlandkarte eingezeichnet. Die gleichen Informationen finden Sie auch in textueller Form auf dieser Seite.
  Routenplaner Karte zum Stellenangebot Karte ausblenden
  Beginn der Tätigkeit

  Sofort
  Anzahl offener Stellen

  1 Stelle
  Vormerken

  Konditionen des Stellenangebots

  Arbeitszeit

  Vollzeit
  Vergütung und Zusatzleistungen

  nach Vereinbarung
  Bei der Besetzung des Stellenangebotes findet ein Tarifvertrag Anwendung.
  Tarifvertrag: BAP
  Befristung

  Unbefristetes Arbeitsverhältnis

  Anforderungen an den Bewerber

  Berufserfahrung

  Mit Berufserfahrung
  Produktion, Verarbeitung, Technik

  Erweiterte Kenntnisse
  Arbeitsvorbereitung, Formenbau, Kundendienst, Maschineneinrichtung, Anlageneinrichtung, Maschinenführung, Anlagenführung, -bedienung, Produktion, Fertigung, Qualitätsprüfung, Qualitätssicherung

  Sprachkenntnisse

  Zwingend erforderlich
  Deutsch

  Verhandlungssicher
  Englisch

  Persönliche Stärken
  Auffassungsfähigkeit/-gabe, Flexibilität, Kommunikationsfähigkeit, Sorgfalt/Genauigkeit, Teamfähigkeit

  Kontaktdaten

  Rückfragen und Bewerbungen an

  Berlin Arbeitsvermittlung Menchawy
  Herr Karim El Menchawy
  Düsseldorfer Str. 76
  10719 Berlin
  Berlin
  Deutschland
  Telekommunikation

  Telefonnummer: +49 (30) 68 40 09 09
  Mobilnummer: +49 (1 72) 3 92 02 29
  Faxnummer: +49 (30) 68 40 09 11
  E-Mail
  info@berlinarbeitsvermittlung.de
  Gewünschte Bewerbungsarten

  Über JOBBÖRSE, per E-Mail, schriftlich, telefonisch
  Internetadresse
  Weitere Informationen zum Stellenangebot im Internet
  Angaben zur Bewerbung

  Geforderte Anlagen: Lebenslauf, Zeugnisse

  Bitte beachten Sie, dass bei postalischen Bewerbungen eine Rücksendung nur dann erfolgen kann, wenn ein ausreichend frankierter Rückumschlag beiliegt.
  Vielen Dank.
  Nachricht an Arbeitgeber Bewerben

  Legende

  Kartenausschnitt vergrößern

  Kartenausschnitt verkleinern

  Externer Link",,0,Stellenanzeige,false
2,310,,"Stellenangebot - KONSTRUKTEUR M/W FÜR BERLIN GESUCHT!!! (Konstrukteur/in)

  Überblick über das Stellenangebot

  Referenznummer

  10000-1152192937-S
  Titel des Stellenangebots

  KONSTRUKTEUR M/W FÜR BERLIN GESUCHT!!! (Konstrukteur/in)
  Alternativberufe
  Werkzeugmechaniker/in - Formentechnik","Stellenangebotsart

  Arbeit",1,Irrelevantes (nicht aus 1-5),false
314,381,gmechaniker/in - Formentechnik,"Stellenangebotsart

  Arbeitsplatz (sozialversicherungspflichtig)","Arbeitgeber
  Berlin Arbeitsv",2,Kontakt und Formalia,false
385,650,(sozialversicherungspflichtig),"Arbeitgeber
  Berlin Arbeitsvermittlung Menchawy Karim El Menchawy

  Branche: Vermittlung von Arbeitskräften, Betriebsgröße: weniger als 6
  Stellenbeschreibung

  Im Rahmen der Arbeitsvermittlung suchen wir für einen Kunden in Berlin einen Konstrukteur m/w.","Ihre Aufgaben:

  - CAD-gest",3,Unternehmensvorstellung,false
656,1067,Berlin einen Konstrukteur m/w.,"Ihre Aufgaben:

  - CAD-gestütztes Konstruieren
  - Abstimmen technischer Sachverhalte mit Kunden und internen Projektbeteiligten
  - technische Begleitung der gesamten Bauphase bis zur Kundenfreigabe und Einführung der Serienfertigung
  - Einkauf von Materialien und Fremdleistungen
  - Dokumentation projektrelevanter Informationen
  - Mitwirkung bei der Erstellung von Kalkulationen bei Kundenanfragen","Ihr Profil:

  - eine abgesc",4,Aufgabenbeschreibung,false
1073,1509,lkulationen bei Kundenanfragen,"Ihr Profil:

  - eine abgeschlossen Ausbildung zum Formbauer/ Werkzeugmechaniker sowie eine ergänzende Ausbildung zum Techniker oder Ingenieur, Fachrichtung Maschinenbau
  - mehrjährige Berufserfahrung als Konstrukteur/in wünschenswert
  - Erfahrung im Umgang mit CAD-Software (SolidWorks oder CATIA)
  - gute Englisch- und MS Office-Kenntnisse
  - Kommunikationsstärke, Flexibilität und eigenständiges Arbeiten
  - Teamfähigkeit",Es erwartet Sie eine interessa,5,Anforderungen,false
1515,1651,"es Arbeiten
  - Teamfähigkeit",Es erwartet Sie eine interessante und abwechslungsreiche Tätigkeiten leistungsgerechter Bezahlung nach BAP und gründlicher Einarbeitung.,"Führungsverantwortung

  Kei",6,Angebot an den Bewerber,false
1655,1757, und gründlicher Einarbeitung.,"Führungsverantwortung

  Keine Führungsverantwortung
  Arbeitsorte

  Berlin, Berlin, Deutschland",In der nachfolgenden Kartenans,7,Kontakt und Formalia,false
1761,2119,"
  Berlin, Berlin, Deutschland","In der nachfolgenden Kartenansicht sind die Ausübungsorte des Stellenangebots in einer interaktiven Deutschlandkarte eingezeichnet. Die gleichen Informationen finden Sie auch in textueller Form auf dieser Seite.
  Routenplaner Karte zum Stellenangebot Karte ausblenden
  Beginn der Tätigkeit

  Sofort
  Anzahl offener Stellen

  1 Stelle
  Vormerken",Konditionen des Stellenangebot,8,Irrelevantes (nicht aus 1-5),false
2125,3327,"len

  1 Stelle
  Vormerken","Konditionen des Stellenangebots

  Arbeitszeit

  Vollzeit
  Vergütung und Zusatzleistungen

  nach Vereinbarung
  Bei der Besetzung des Stellenangebotes findet ein Tarifvertrag Anwendung.
  Tarifvertrag: BAP
  Befristung

  Unbefristetes Arbeitsverhältnis

  Anforderungen an den Bewerber

  Berufserfahrung

  Mit Berufserfahrung
  Produktion, Verarbeitung, Technik

  Erweiterte Kenntnisse
  Arbeitsvorbereitung, Formenbau, Kundendienst, Maschineneinrichtung, Anlageneinrichtung, Maschinenführung, Anlagenführung, -bedienung, Produktion, Fertigung, Qualitätsprüfung, Qualitätssicherung

  Sprachkenntnisse

  Zwingend erforderlich
  Deutsch

  Verhandlungssicher
  Englisch

  Persönliche Stärken
  Auffassungsfähigkeit/-gabe, Flexibilität, Kommunikationsfähigkeit, Sorgfalt/Genauigkeit, Teamfähigkeit

  Kontaktdaten

  Rückfragen und Bewerbungen an

  Berlin Arbeitsvermittlung Menchawy
  Herr Karim El Menchawy
  Düsseldorfer Str. 76
  10719 Berlin
  Berlin
  Deutschland
  Telekommunikation

  Telefonnummer: +49 (30) 68 40 09 09
  Mobilnummer: +49 (1 72) 3 92 02 29
  Faxnummer: +49 (30) 68 40 09 11
  E-Mail
  info@berlinarbeitsvermittlung.de","Gewünschte Bewerbungsarten

",9,Kontakt und Formalia,false
